speed_kmh,fog_severity,sensor_noise_std,added_latency_s,required_distance_m,detected_range_m,hazard,area,exposure_weight,risk_score
66.49991554949852,0.09237083927589662,0.7,0.18281778929611608,42.21532519213035,106.93239942951392,False,Area 1 (known safe),0.6508694535857574,0.0
39.22559977993558,0.060753729588020056,0.7,0.011671040328929249,20.4209686810209,109.96764195955008,False,Area 1 (known safe),0.4923695484937212,0.0
47.33198471849431,0.604191950743664,0.7,0.18367810226302037,27.364103747517404,57.797572728608245,False,Area 1 (known safe),0.44700132196555475,0.0
54.104467226223996,0.502721308954724,0.7,0.21310327155562417,32.596561176570376,67.53875434034649,False,Area 1 (known safe),0.5170147479737346,0.0
66.92855193174469,0.05151522593930513,0.7,0.11702329397427917,41.37077590387171,110.85453830982671,False,Area 1 (known safe),0.6014172035985571,0.0
78.06039506114298,0.22121865607745617,0.7,0.2513089474705556,54.62214143720589,94.5630090165642,False,Area 1 (known safe),0.6678214850395732,0.0
35.827334385759876,0.24479290641577067,0.7,0.28275877357953916,21.371742292678288,92.29988098408602,False,Area 1 (known safe),0.6898416110132308,0.0
65.47838581990305,0.33785712913695,0.7,0.1251331024396827,40.27188502472815,83.36571560285279,False,Area 1 (known safe),0.49499025078490266,0.0
41.51720778160573,0.04360338358621263,0.6064029427685655,0.13816658864212386,23.12980132326243,112.17565751911219,False,Area 1 (known safe),0.6116856766229236,0.0
31.643136289756992,0.5155639447214952,0.7,0.059139816557415154,17.11480384638181,66.30586130673646,False,Area 1 (known safe),0.3579142386688171,0.0
36.795369114634944,0.6709307929541091,0.7,0.2781998522485084,21.882756826063044,51.390643876405534,False,Area 1 (known safe),0.5148275350668647,0.0
45.988864452444986,0.06717283689500897,0.7,0.12989997795041178,25.787182691108224,109.35140765807914,False,Area 1 (known safe),0.6080308431924082,0.0
47.099290264399244,0.0541154678036494,0.7,0.05004610077480219,25.460175646795758,110.60491509084966,False,Area 1 (known safe),0.5333999136533424,0.0
74.9792608231048,0.5864677720405472,0.7,0.22881955002566517,51.04024712812973,59.49909388410747,False,Area 1 (known safe),0.49923244120944626,0.0
78.60914840935206,0.528482000959547,0.20549182107884212,0.04305878252155649,50.64031210622181,68.03277698141044,False,Area 1 (known safe),0.26248975529956403,0.0
46.38275149608214,0.07585378579492075,0.7,0.17086882219947488,26.568065614588438,108.51803656368762,False,Area 1 (known safe),0.6455273078815066,0.0
45.991796164598355,0.2019574743856899,0.7,0.19695319468420897,26.645698029415573,96.41208245897377,False,Area 1 (known safe),0.621170204929933,0.0
46.32471638316258,0.6577106691553425,0.7,0.034657203692323335,24.777247550794367,52.65977576108712,False,Area 1 (known safe),0.27657293603018634,0.0
63.648208655590786,0.44350138255004157,0.7,0.1428054113652322,39.04028891195007,73.223867275196,False,Area 1 (known safe),0.4704048583452156,0.0
56.540396404520806,0.29069981364692055,0.7,0.10710559322656237,32.79828577019359,87.89281788989562,False,Area 1 (known safe),0.49582566776779413,0.0
49.27120890433221,0.4186338560479791,0.7,0.2920105848720365,30.166760164538616,75.611149819394,False,Area 1 (known safe),0.6295570424528449,0.0
37.45448843643583,0.44519964627063435,0.4280018034234483,0.014887180253840226,19.527989984433038,74.69282313747841,False,Area 1 (known safe),0.30100759225910373,0.0
40.94173387938463,0.10345828370495302,0.6407025497472552,0.2825586582275166,24.43235893277244,106.22378946584098,False,Area 1 (known safe),0.7372807272076236,0.0
35.37357019843407,0.279730746807615,0.3502215385877152,0.29504885495529887,21.234681374412773,91.04451907494267,False,Area 1 (known safe),0.6356897870204101,0.0
69.27225154261197,0.5375648165827139,0.7,0.24747048231814003,45.944259044424996,64.19377760805945,False,Area 1 (known safe),0.5374445556850544,0.0
35.62489789069427,0.6982869266305917,0.1809073339807008,0.02279947320492279,18.68393345084074,51.879011039578984,False,Area 1 (known safe),0.17062080264979124,0.0
66.2114118653418,0.6306372889592436,0.7,0.1684065085030621,41.69655078455521,55.25882025991261,False,Area 1 (known safe),0.42115159291936466,0.0
70.63650247157929,0.5570768419744303,0.6777868469572721,0.016507270671399985,42.69086521517464,62.453902088711054,False,Area 1 (known safe),0.2953445609252187,0.0
58.98152851183067,0.2146826916735075,0.7,0.05913862549341063,33.876622737187866,95.19046159934327,False,Area 1 (known safe),0.4782655488240076,0.0
41.78807564317865,0.4508742314022398,0.29112449545724717,0.1467585198667888,23.39062957027776,74.9693268126415,False,Area 1 (known safe),0.41007750162448,0.0
74.7340587166334,0.6933822441944774,0.0813895446940569,0.047294298884348086,47.03013046448291,52.94696728916582,False,Area 1 (known safe),0.18214983291066567,0.0
67.60234639029305,0.6054527661379177,0.16600839495718955,0.21135596808829302,43.72919896308701,60.88048408101675,False,Area 1 (known safe),0.3940761208767044,0.0
65.46889651549446,0.5269193673044325,0.7,0.1320851140919947,40.390212000895275,65.21574073877447,False,Area 1 (known safe),0.42631736717022173,0.0
44.4635846862239,0.017691923121148312,0.655001007017801,0.26351629987579384,26.473758347258993,114.37156933826294,False,Area 1 (known safe),0.7546896816800046,0.0
33.101243767639154,0.07209906915017994,0.6712579849482312,0.04130583951598251,17.636843706091483,109.05094145189334,False,Area 1 (known safe),0.5131549095981452,0.0
72.90390361124719,0.15610499763740027,0.7,0.07810157516970266,45.96283658921171,100.81392022680957,False,Area 1 (known safe),0.5206595761147426,0.0
45.684881903495125,0.054759931189628075,0.32619601230324036,0.14686190557569098,25.80832197672109,112.78587053197626,False,Area 1 (known safe),0.5738873349453258,0.0
39.78567074641326,0.40086323880492647,0.7,0.01840157966377559,20.79551166154356,77.31712907472705,False,Area 1 (known safe),0.363056284141805,0.0
55.803091118048854,0.33687854513887217,0.7,0.028705734469964182,31.03287967895743,83.45965966666826,False,Area 1 (known safe),0.3989543164144153,0.0
75.51135996412236,0.6373541578683929,0.7,0.11923301151671162,49.26851628500615,54.614000844634276,False,Area 1 (known safe),0.36929134836935446,0.0
32.17732889216877,0.5356651079334027,0.7,0.2831658890203662,19.365791899096454,64.37614963839334,False,Area 1 (known safe),0.5738998458470052,0.0
68.29020440154439,0.5959707593878597,0.7,0.27252410798310006,45.511970158669996,58.586807098765476,False,Area 1 (known safe),0.5391358042279562,0.0
58.62366139693545,0.4719772029376541,0.7,0.13979245748352334,34.91738539224979,70.4901885179852,False,Area 1 (known safe),0.4560015763084617,0.0
51.272455827590846,0.27773714855425713,0.7,0.042647563353219016,28.08111646232002,89.13723373879132,False,Area 1 (known safe),0.43655270393151613,0.0
78.29122122208162,0.08640915976013896,0.7,0.11326381638273818,51.857460389375575,107.50472066302666,False,Area 1 (known safe),0.5837001524786826,0.0
37.18236825360598,0.31123804686473466,0.10634657335297515,0.024892678317113347,19.491810786119103,89.48306806086762,False,Area 1 (known safe),0.3163494455741658,0.0
75.64408726113484,0.5126614453672974,0.7,0.20213324505599914,51.13830992150118,66.58450124473944,False,Area 1 (known safe),0.5020686669090801,0.0
63.44765387286518,0.10884232282754613,0.7,0.17443459133780845,39.42979310654159,105.35113700855557,False,Area 1 (known safe),0.63589766220679,0.0
51.8993010780983,0.07093106837100926,0.7,0.08738902739342552,29.150941178190436,108.9906174363831,False,Area 1 (known safe),0.5640166000450217,0.0
58.662978513214156,0.4295454487186029,0.12762718081093327,0.23368451476569124,36.478146628697544,77.99787383814852,False,Area 1 (known safe),0.48101041239989006,0.0
68.65159493528586,0.26936477754854893,0.12119382934661727,0.14730059106382853,43.459224071834726,93.41381837925961,False,Area 1 (known safe),0.4577337544464015,0.0
75.99470904094824,0.5623478889353201,0.7,0.028959766653568163,47.829487639735355,61.81460266220927,False,Area 1 (known safe),0.3090206110794401,0.0
51.34213944478113,0.27865034052281834,0.08606836661338879,0.27554082003040725,31.449581817083924,92.73315711012911,False,Area 1 (known safe),0.5769909388132882,0.0
44.67054550096975,0.3886130608930408,0.2747947620207416,0.20059815706229137,25.829981507690633,81.04437758214364,False,Area 1 (known safe),0.4863721470081863,0.0
59.7299226974489,0.5160175434176298,0.7,0.12150644874828907,35.48611700667688,66.26231583190754,False,Area 1 (known safe),0.4200994313812372,0.0
50.99928992279751,0.23810562747207875,0.23564570523986883,0.19060489192078736,29.993380950803562,95.72798553124123,False,Area 1 (known safe),0.5307094967179362,0.0
37.64978933390872,0.19318391273302282,0.28541533842783684,0.14216126871930623,20.95969438051973,99.74185234706279,False,Area 1 (known safe),0.5077000043902726,0.0
64.54589109705164,0.20271659651068752,0.7,0.2207646275722078,41.19518208099663,96.339206734974,False,Area 1 (known safe),0.6446779889679328,0.0
54.66631383982734,0.3689702095355373,0.6432212005116433,0.023985807373267696,30.149497987857774,80.71953268151856,False,Area 1 (known safe),0.37288090363579934,0.0
50.73438548247158,0.36815574036278786,0.5210463948915001,0.09150277124901758,28.408433688302633,81.53077055582337,False,Area 1 (known safe),0.42239743433762744,0.0
69.31469644208491,0.3515166249107261,0.7,0.12907379896162388,43.704104013761025,82.05440400857029,False,Area 1 (known safe),0.49346714899733346,0.0
50.64296353085364,0.6374636288776231,0.6652102984640837,0.08256676775378581,28.2204337114511,54.81222983696368,False,Area 1 (known safe),0.3273628609723491,0.0
34.21067270353435,0.5634021759730277,0.7,0.03729579227869517,18.13091085824027,61.71339110658934,False,Area 1 (known safe),0.31693492188948413,0.0
33.35328142706878,0.48609530319502325,0.7,0.05784714517900402,17.909802848419858,69.13485089327777,False,Area 1 (known safe),0.3684090239009947,0.0
55.14669685416244,0.619862262830103,0.7,0.2727908493348463,34.30147170295619,56.2932227683101,False,Area 1 (known safe),0.5298459442028052,0.0
