speed_kmh,fog_severity,sensor_noise_std,added_latency_s,required_distance_m,detected_range_m,hazard,area
48.72700594236812,0.3736408184666985,1.4599966219799407,0.19144337051165217,23.414572257822883,50.3705016953173,False,Area 1 (known safe)
77.53571532049581,0.3329120962314033,0.36902399119742313,0.13778773606025793,46.63957281016773,85.82629481460074,False,Area 1 (known safe)
66.59969709057026,0.17615391250286005,0.6932793887397724,0.2893495574591822,39.27411921510696,98.9295480672868,False,Area 1 (known safe)
59.93292420985183,0.6072666701014879,1.3265612737156365,0.06569353529527146,29.71741266132517,28.743032027963338,True,Area 2 (known unsafe - documented trigger)
37.80093202212183,0.4766241605086289,0.9641786890489599,0.1763569247996822,16.402272328928902,43.45900845687788,False,Area 1 (known safe)
37.79972601681013,0.8657009923240037,1.4771420772697876,0.21006300449706677,16.75550476356812,3.029852273276912,True,Area 2 (known unsafe - documented trigger)
32.90418060840997,0.03210958048205825,1.9224158024457194,0.24766934680361447,14.429907606537835,105.38298545904809,False,Area 1 (known safe)
73.30880728874675,0.6438679275551263,0.233093375430395,0.12209130912840212,42.23306407958197,56.7901187021255,False,Area 1 (known safe)
60.05575058716044,0.7629488785115611,1.4191354327961219,0.20607657229724444,32.15471347896186,13.242095066113393,True,Area 2 (known unsafe - documented trigger)
65.40362888980228,0.759486569188307,0.46068831126422904,0.09096044141528482,34.58725468723312,44.32515949033714,False,Area 1 (known safe)
31.02922471479012,0.8860739670955251,0.8289534548151385,0.13064282770854607,12.449278502812952,4.9631784299387505,True,Area 2 (known unsafe - documented trigger)
78.49549260809971,0.7290337428294941,0.06572545159027965,0.26868813936101976,50.44918190802912,49.618407978826895,True,Area 2 (known unsafe - documented trigger)
71.62213204002109,0.9278100616476963,0.2718147645853979,0.28497228279928627,43.90511717069323,29.299345494308756,True,Area 2 (known unsafe - documented trigger)
40.61695553391381,0.33265659982089146,0.6395545780977994,0.21564520407817941,18.47435128078422,84.22763894860762,False,Area 1 (known safe)
39.09124836035503,0.5032094167515431,0.6839716105759699,0.11230556723285551,16.442237799953194,67.58806632839605,False,Area 1 (known safe)
39.17022549267169,0.014079663282890675,1.7991704329241915,0.2460173369923992,17.941312240511788,107.85332972729734,False,Area 1 (known safe)
45.21211214797688,0.006957587303291213,1.4836258185330302,0.007760124517626054,18.759257411916877,110.43031670768586,False,Area 1 (known safe)
56.2378215816119,0.2401266204515199,1.9443659363740822,0.030823773161826315,26.38014895538144,85.2816488184096,False,Area 1 (known safe)
51.59725093210579,0.10080719713908526,1.198143020670481,0.19841212091260832,25.53319454213115,103.13365095062493,False,Area 1 (known safe)
44.5614570099021,0.2602113679357536,0.48342746418263594,0.08737457258101723,19.358145286570412,92.11914389307185,False,Area 1 (known safe)
60.59264473611897,0.1770432945283974,0.6553100598432857,0.2854158655201433,33.93003525790877,99.07198336621414,False,Area 1 (known safe)
36.97469303260209,0.02852002483864824,0.6396718465839342,0.1308181836276914,15.473238557975991,113.42404653598615,False,Area 1 (known safe)
44.60723242676091,0.9093041464060494,0.6529886553265032,0.1288094461167531,19.89961829270517,28.788870013060233,False,Area 1 (known safe)
48.318092164684586,0.008223131388891525,1.3459283462236313,0.20342385305727936,23.295157744918654,111.13500930932463,False,Area 1 (known safe)
52.8034992108518,0.7360821443370854,1.0616158561808324,0.2302705686918569,26.878315042531284,17.9664190065548,True,Area 2 (known unsafe - documented trigger)
69.25879806965068,0.15214788691951653,0.7708483561732886,0.14266762143754094,38.915498800738405,100.76871271868667,False,Area 1 (known safe)
39.98368910791799,0.9122296219996,0.2981795374574332,0.06420027051351725,16.4115004345673,30.636879063293794,False,Area 1 (known safe)
55.71172192068058,0.8927959395898858,0.044278325884291814,0.23199259281768647,29.113072959167575,34.0259198440652,False,Area 1 (known safe)
59.620728443102124,0.6539011463692573,0.4376693551753852,0.09610538246208827,29.97931274510007,54.59947381749899,False,Area 1 (known safe)
32.32252063599989,0.6722341498006051,0.21494280793736253,0.05253323078815728,12.372211908451636,54.17586477151774,False,Area 1 (known safe)
60.37724259507192,0.005339141969688543,1.5708900617044788,0.18949205697750396,32.13962070446054,110.06210200068303,False,Area 1 (known safe)
38.526206184364575,0.984871566113602,0.22499591562777077,0.02713610009710512,15.216498951809665,24.10235415932758,False,Area 1 (known safe)
33.25257964926398,0.8778326035758144,1.4484564746136723,0.2914058025258165,15.018768128001161,2.0373312090397846,True,Area 2 (known unsafe - documented trigger)
77.44427686266667,0.895106225730092,0.7713173795521653,0.18971917932364107,47.666244273498585,29.44189805259817,True,Area 2 (known unsafe - documented trigger)
78.28160165372796,0.6592445370508719,0.14675677948755195,0.2957686562765267,50.81646888730433,55.83198376619098,False,Area 1 (known safe)
70.41986740582306,0.34478692865453653,1.6254600988631716,0.1016680270435908,39.16622803834332,52.147694255985456,False,Area 1 (known safe)
45.23068845866854,0.8936486490904808,1.1592611404732267,0.29136154835711936,22.333554273334887,2.2541628444744717,True,Area 2 (known unsafe - documented trigger)
34.883605700319194,0.29151692815119234,0.4715230257271461,0.04366867431858707,13.521319005482743,89.18523674312266,False,Area 1 (known safe)
64.21165132560785,0.5627115433422029,1.7893623486653358,0.012208431704108536,32.18507188469973,30.243517747156517,True,Area 2 (known unsafe - documented trigger)
52.007624686980066,0.0997309723438824,0.09051662774110292,0.009895218136380767,23.106617699119013,109.88272688854067,False,Area 1 (known safe)
36.10191174223894,0.9219556301327502,0.4036392163955258,0.13946111117976812,15.091822729457384,29.07042420888282,False,Area 1 (known safe)
54.758845505563514,0.14077045777121333,1.504093855611722,0.024901259243578434,25.2288405637902,97.46147292029319,False,Area 1 (known safe)
31.71942605576092,0.22489680573040727,1.4187558606197783,0.1536503652502805,12.982844000440654,89.89737148616224,False,Area 1 (known safe)
75.4660201039391,0.558134158128215,0.5785433874489561,0.09825015105267014,43.78501982936089,62.94786049499762,False,Area 1 (known safe)
42.93899908000085,0.7640930002129815,0.12404975070556623,0.10068869774223467,18.537392909553745,45.90277347532037,False,Area 1 (known safe)
63.1261142176991,0.619351305936299,1.7161561444498876,0.19068269896355092,34.443555257195,25.245337763415968,True,Area 2 (known unsafe - documented trigger)
45.58555380447055,0.23213391280015616,0.6273952761398052,0.048929401845486054,19.50456221530929,93.95077271434617,False,Area 1 (known safe)
56.00340105889054,0.0009430425274903342,0.39142682985653043,0.2299660111019193,29.308291522400438,117.56090693822175,False,Area 1 (known safe)
57.33551396716398,0.7571505803074392,1.0321236447219542,0.1746092759335904,29.47337842948414,16.120802422154114,True,Area 2 (known unsafe - documented trigger)
39.24272277627635,0.9852073259110937,1.8204543985648947,0.27448338865425326,18.294947570893097,0.0,True,Area 2 (known unsafe - documented trigger)
78.47923138822793,0.8099131203060904,0.08709315568675069,0.10945219613025702,46.961009159879794,41.725781516494806,True,Area 2 (known unsafe - documented trigger)
68.75664116805572,0.46020661815661534,1.5316081760617755,0.29481449762013767,41.370666710578156,41.63051560059428,False,Area 1 (known safe)
76.97494707820945,0.9037672613991066,1.1449464558774178,0.17274829401420697,46.8335758374577,1.3686641704212619,True,Area 2 (known unsafe - documented trigger)
74.74136752138244,0.40984767311835,0.8508982331036339,0.29202058685626014,47.11784088154562,50.5492339820166,False,Area 1 (known safe)
59.89499894055426,0.5249340842434675,1.48816088821012,0.008118196214134598,28.73007684537076,35.67736258336639,False,Area 1 (known safe)
76.09371175115584,0.47712976739568325,1.9316488488832646,0.2183928967237164,46.926971342597106,37.60564923671482,True,Area 3 (unknown unsafe - undiscovered trigger)
34.424625102595975,0.44762387266552495,0.45841242232538204,0.24498645728782087,15.220882795471402,74.27763369015733,False,Area 1 (known safe)
39.79914312095726,0.7751907692939057,0.28729473014423923,0.015951986002946273,15.775718676507172,43.8579177669196,False,Area 1 (known safe)
32.2613644455269,0.526768907269492,1.825763490445394,0.1736908992048737,13.429358338140627,33.47560395945641,False,Area 1 (known safe)
46.266516538163216,0.31671712202521607,1.3379061549146074,0.2405826880768345,22.387844021776576,56.567719356091615,False,Area 1 (known safe)
49.4338644844741,0.2581581676584783,0.875972043123932,0.1683116175669218,23.58566539655727,64.96098364604248,False,Area 1 (known safe)
43.567451588694794,0.037747316967433386,1.1465191405285662,0.01914407712163999,17.928842813489243,109.49714272795501,False,Area 1 (known safe)
71.43687545759647,0.583195161883046,1.491227810352488,0.20803417226949342,42.19964586356528,30.065897597112638,True,Area 2 (known unsafe - documented trigger)
47.83766633467947,0.2299614154010342,1.5460637974114344,0.01817907440199259,20.505119251906244,88.64732133703211,False,Area 1 (known safe)
44.046725484369034,0.1481339220163831,1.8397883616379291,0.24524066850493154,20.9757578426087,94.74041331659964,False,Area 1 (known safe)
57.13480415791243,0.6538299638276777,0.8536855777912453,0.012910254992008319,26.751212996002405,27.110210005795466,False,Area 1 (known safe)
37.04621124873813,0.6812092578215488,0.58682182003879,0.04121921430311124,14.589938969527708,51.08298032889857,False,Area 1 (known safe)
70.10984903770199,0.752154892257666,1.2793285335796838,0.08253227715698054,38.514547365090365,15.117159141785962,True,Area 2 (known unsafe - documented trigger)
33.727532183988544,0.5035768963385915,0.8314557985590607,0.19000943767824,14.328764252342829,41.66788316014086,False,Area 1 (known safe)
79.34434683002587,0.8940546052038866,1.1891969078979558,0.2929077298893918,51.86730878773081,2.035576453039141,True,Area 2 (known unsafe - documented trigger)
68.61223846483287,0.9363427533982278,0.8399715969119004,0.035346855785980326,36.290292048845345,0.07126609229872471,True,Area 2 (known unsafe - documented trigger)
39.93578407670862,0.8073709397924894,0.30599157335634897,0.042812300764175526,16.1476252094993,40.65644033978292,False,Area 1 (known safe)
30.27610585618012,0.6355934820081872,0.9388535033179168,0.11066111901029409,11.926216026702598,28.34990470730653,False,Area 1 (known safe)
70.77307142274171,0.30372095359118867,1.3818356438820656,0.25086574132659606,42.418504109007635,57.5517745919535,False,Area 1 (known safe)
65.34286719238085,0.9829449216202212,1.5985676153352997,0.14016928582524424,35.42920660721154,0.0,True,Area 2 (known unsafe - documented trigger)
66.45035840204937,0.27413616719193834,0.9866525535930937,0.0964831800767465,35.57807586819211,62.76301262801536,False,Area 1 (known safe)
68.56351733429729,0.20265692199043106,0.33047578042080183,0.1683611496626584,38.781555104909124,98.56208080639381,False,Area 1 (known safe)
33.70223258670452,0.44215411378658276,0.8293754192988632,0.07815695923372501,13.268434141773428,47.57695256069488,False,Area 1 (known safe)
47.923286427213625,0.05684057071238846,1.5725878576833965,0.12034797217425627,21.91913943876457,105.10777806551033,False,Area 1 (known safe)
35.79345297625649,0.9784944646717908,0.8257185412341457,0.09978154476961255,14.533138769881838,0.0,True,Area 2 (known unsafe - documented trigger)
73.15517129377967,0.5884335564164248,1.3930615872084446,0.24124230672439376,44.5101503039004,30.152009060772556,True,Area 2 (known unsafe - documented trigger)
61.1649063413779,0.5569520916641753,1.0144273633561796,0.27727671793140024,34.276778998845586,35.4460350201021,False,Area 1 (known safe)
46.54490124263246,0.6557962798997199,0.4824462502187934,0.22787165764707354,22.4115717878407,54.14887962831412,False,Area 1 (known safe)
33.177917514301186,0.49702364777720665,1.5923010160461486,0.13172507280899504,13.506498021325191,37.731923717111265,False,Area 1 (known safe)
45.54911608578311,0.03206351709454158,0.16842690814137407,0.15130049324899913,20.77747581560537,115.91134091007575,False,Area 1 (known safe)
46.25916610133736,0.6123112888403968,1.0497805655103012,0.037522108178830706,19.773608392462748,29.91943287826011,False,Area 1 (known safe)
66.4803089169032,0.7161738769564306,0.4177820684868099,0.22405941334036134,37.959652167753866,48.740615401261806,False,Area 1 (known safe)
61.87787356776066,0.41674906062405315,0.1341312570827513,0.1789427038185132,33.19431032154946,79.18730263759439,False,Area 1 (known safe)
74.36063712881634,0.7572955720711929,1.0058678741664977,0.2707319988412309,46.297337472307156,16.264417836166487,True,Area 2 (known unsafe - documented trigger)
53.610746258097464,0.22700129933842061,0.9991243118698472,0.060183343072545956,24.94896364990099,92.21312939229254,False,Area 1 (known safe)
35.97971229691508,0.22127659106618403,1.4138018033514417,0.22791783657978362,15.910730260885973,90.27463643753768,False,Area 1 (known safe)
65.66223936114974,0.16141698768757395,1.4895013861038098,0.2054014985157569,36.89309164037643,95.56696086537005,False,Area 1 (known safe)
68.03925243084487,0.37199475978916186,1.4555829773857936,0.07975366014292565,36.63669426108713,50.555005195925716,False,Area 1 (known safe)
58.063859878474815,0.8470120353890835,0.8191174658335101,0.20021359186224752,30.455726846360776,8.772139807646909,True,Area 2 (known unsafe - documented trigger)
68.54835899772806,0.8279120621490643,1.263379574453125,0.27731201417299484,40.84247388942774,7.940164586971072,True,Area 2 (known unsafe - documented trigger)
54.689779818219534,0.3828242079635038,1.1538904852879206,0.27553079630013566,28.987451218758252,51.3255331237761,False,Area 1 (known safe)
56.1366414690997,0.5891187359802366,0.8431235122338392,0.2158879723548424,29.192580722577866,33.38586027249425,False,Area 1 (known safe)
51.37705091792748,0.7208163164749156,1.1944253883719864,0.01442193376021803,22.748879756626387,18.63508128817618,True,Area 2 (known unsafe - documented trigger)
31.27095633720476,0.24120677462802298,1.894495753412525,0.26167930119604843,13.702786954007237,85.47717511523463,False,Area 1 (known safe)
35.39457134966522,0.16814108589474708,0.3857874873627547,0.19733358210136198,15.285916072661866,101.54373082992774,False,Area 1 (known safe)
31.57145928433671,0.972095993212311,1.8115441915710526,0.09313027595482033,12.379776357896501,0.0,True,Area 2 (known unsafe - documented trigger)
