Scenario,Hazard Rate (%),Area 1 (%),Area 2 (%),Area 3 (%),Avg Risk Score
Baseline,25.82,74.18,25.14,0.68,0.1113
Mitigated,0.53,99.47,0.53,0.0,0.0022
